IBOV - Carteira do Dia 22/02/23
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;3.484.913.747;5,368;16,283;
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.566.441.248;6,264;16,283;
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;839.159.130;1,664;16,283;
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.087.887.681;0,745;16,283;
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.114.442.976;0,891;16,283;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;400.842.480;0,916;2,391;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.196.069.386;1,475;2,391;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;351.919.239;0,281;3,267;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4.455.957.762;1,177;3,267;
Saúde/SM Hosp An.Diag;QUAL3;QUALICORP;ON      NM;277.226.847;0,078;3,267;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.149.694.340;1,731;3,267;
Tec.Informação/Programas Servs;LWSA3;LOCAWEB;ON      NM;419.466.860;0,120;0,928;
Tec.Informação/Programas Servs;CASH3;MELIUZ;ON      NM;657.970.941;0,031;0,928;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;520.749.110;0,777;0,928;
Telecomunicação;VIVT3;TELEF BRASIL;ON;423.091.712;0,913;1,425;
Telecomunicação;TIMS3;TIM;ON      NM;808.436.195;0,512;1,425;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;340.002.999;0,971;0,971;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.442.098.974;0,819;9,922;
Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1.563.365.506;0,606;9,922;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,303;9,922;
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;1.871.213.500;3,485;9,922;
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;275.526.814;0,538;9,922;
Utilidade Públ / Energ Elétrica;ENBR3;ENERGIAS BR;ON      NM;246.028.184;0,258;9,922;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;248.477.689;0,519;9,922;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.576.898.490;0,955;9,922;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255.208.461;0,522;9,922;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.100.513.485;1,510;9,922;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,407;9,922;
Quantidade Teórica Total;;;;97.076.388.170;100,000;100,000
Redutor;;;;17.653.268,08915838
